"species","sample_id","term","est","se","lower","upper"
"BEPA","BEPA_81_4","Kmax",1.39300307112827,0.0171797746455906,1.35933269833824,1.42669028447124
"BEPA","BEPA_81_4","slope",442.482581810873,27.114780082744,389.425125059429,495.650281058565
"BEPA","BEPA_81_4","p50",-2.0903474797827,0.00410319987331953,-2.09832901142242,-2.08231360610492
"BEPA","BEPA_81_4","p12",-1.97777637265933,0.00880156783168723,-1.99355539255918,-1.9590945261449
"BEPA","BEPA_81_4","p88",-2.20291858690606,0.00736322247051544,-2.21852625118901,-2.18974804496185
"BEPA","BEPA_81_5","Kmax",1.68234339091805,0.0300804919409032,1.6236113356183,1.74139432583404
"BEPA","BEPA_81_5","slope",472.263057864281,50.3367380696445,373.735771042413,570.650139070792
"BEPA","BEPA_81_5","p50",-2.26498815797319,0.00669081945874263,-2.27815478698219,-2.25191127238306
"BEPA","BEPA_81_5","p12",-2.15951568180172,0.0143701136610013,-2.18367402918253,-2.12722002194856
"BEPA","BEPA_81_5","p88",-2.37046063414466,0.0126944420307929,-2.39908229548946,-2.34935613934559
"BEPE","BEPE_144_1","Kmax",1.23672134121535,0.00948907531970221,1.21813728051417,1.25538759105376
"BEPE","BEPE_144_1","slope",351.054857884883,20.4173325257688,310.958952574088,390.949593338505
"BEPE","BEPE_144_1","p50",-2.16288831034495,0.00476018825402359,-2.17224887096423,-2.15358343265421
"BEPE","BEPE_144_1","p12",-2.02099950579353,0.0099898529178738,-2.03901741468001,-1.99989217419358
"BEPE","BEPE_144_1","p88",-2.30477711489637,0.00924469500060856,-2.32438498998045,-2.288240149102
"BEPE","BEPE_144_2","Kmax",0.707325883696688,0.00897514172871625,0.689738964445085,0.72495417630288
"BEPE","BEPE_144_2","slope",177.673955255745,11.8481173165221,154.431885694999,200.918351633378
"BEPE","BEPE_144_2","p50",-2.21853875011157,0.0103824851492992,-2.23885267492119,-2.19818480587856
"BEPE","BEPE_144_2","p12",-1.93818953378689,0.0232541164379665,-1.97968610407116,-1.88838862646767
"BEPE","BEPE_144_2","p88",-2.49888796643626,0.0199814052741657,-2.54232402836358,-2.46366131274276
"BEPE","BEPE_144_3","Kmax",1.2164898619569,0.0171171015833289,1.18290347100118,1.25010565049672
"BEPE","BEPE_144_3","slope",325.261538948341,27.7529535539399,270.850633509618,379.864318232516
"BEPE","BEPE_144_3","p50",-2.23746307451455,0.00758602507937564,-2.2523536453887,-2.2226055946481
"BEPE","BEPE_144_3","p12",-2.08432245334456,0.0162931981363373,-2.11265553378528,-2.04857270875527
"BEPE","BEPE_144_3","p88",-2.39060369568454,0.0145491767437089,-2.42253310187739,-2.36539113166671
"BEPE","BEPE_144_4","Kmax",1.37885097643193,0.0177764320371163,1.34401616479126,1.41357861688552
"BEPE","BEPE_144_4","slope",303.34676024796,25.3820271008842,253.557304956757,353.179007128348
"BEPE","BEPE_144_4","p50",-2.15412024836238,0.00798003643250234,-2.16982599112127,-2.13851609455844
"BEPE","BEPE_144_4","p12",-1.98991623946992,0.0170631001444331,-2.01957743263121,-1.95270658221252
"BEPE","BEPE_144_4","p88",-2.31832425725484,0.0153515950500178,-2.35210835338146,-2.29175070277936
"BEPE","BEPE_144_5","Kmax",1.93762320611108,0.0281221325886536,1.88253081999234,1.99279830864115
"BEPE","BEPE_144_5","slope",441.736683057945,55.8295506583923,331.700904381941,550.873454974396
"BEPE","BEPE_144_5","p50",-2.15639553776702,0.00812069950656085,-2.17239731787456,-2.14054554121563
"BEPE","BEPE_144_5","p12",-2.04363434761084,0.0177453898740413,-2.07225021358177,-2.00274800088105
"BEPE","BEPE_144_5","p88",-2.2691567279232,0.0168825069355984,-2.3087285612398,-2.24229384114014
"BEPE","BEPE_301_1","Kmax",1.87370923829807,0.0165208518008348,1.84136924714128,1.90594522168323
"BEPE","BEPE_301_1","slope",277.661957785272,19.5007867145555,239.495285305342,315.72685031571
"BEPE","BEPE_301_1","p50",-2.67393348636074,0.00708647916837977,-2.68771715401867,-2.65998176227272
"BEPE","BEPE_301_1","p12",-2.4945399730593,0.0151546943557073,-2.52129324211313,-2.46193826913413
"BEPE","BEPE_301_1","p88",-2.85332699966218,0.0141879630769341,-2.88401047764035,-2.8283871149041
"BEPE","BEPE_301_2","Kmax",1.09890595265709,0.00786732006849858,1.08346516689362,1.11436238012127
"BEPE","BEPE_301_2","slope",376.835946673396,32.6175562612407,312.84245449636,440.518617664881
"BEPE","BEPE_301_2","p50",-2.25309223923245,0.0074929411804017,-2.26771564122149,-2.23837770977728
"BEPE","BEPE_301_2","p12",-2.12091070358817,0.0188325349522287,-2.15386499719357,-2.08016766469386
"BEPE","BEPE_301_2","p88",-2.38527377487673,0.00604791552117417,-2.40021307898304,-2.37645797605611
"BEPE","BEPE_301_3","Kmax",0.999596125659716,0.0195851036550706,0.961276705082962,1.03801243425488
"BEPE","BEPE_301_3","slope",206.157060928858,18.3244510533244,170.107361145987,242.011823003161
